SYMBOL	len
ARF5	6289
M6PR	14984
ESRRA	14219
FKBP4	13453
CYP26B1	24324
NDUFAF7	20502
FUCA2	22608
DBNDD1	20285
HS3ST1	41444
SEMA3F	36751
CFTR	191640
CYP51A1	28024
USP28	83396
STPG1	62420
NIPAL3	60173
TMEM176A	7349
SLC7A2	34784
HSPB6	8163
ZNF195	25822
PDK4	18717
CCL26	8373
USH1C	56216
RALA	87548
BCAP29	43232
BAIAP2L1	115140
CACNG3	109077
TMEM132A	15678
DVL2	14875
GGCT	13918
RPAP3	50481
IFRD1	55383
UPP2	37278
PRSS21	7482
HOXA11	9775
CX3CL1	15554
PRR5	63623
TRAPPC6A	21009
SPATA20	11678
CEACAM7	20760
CD79B	9291
RHBDD2	12892
RPUSD1	9107
TSR3	8338
OSBPL7	20122
ARHGAP33	16258
NDUFAB1	21002
YBX2	12076
PDK2	19321
ITGA3	36289
KRT33A	10436
LRRC23	12496
IL32	7188
TFAP2D	62507
SPRTN	17265
CRY1	107885
PGLYRP1	9600
STARD3NL	55424
CAMK1G	33221
CD9	40866
CD74	16971
RPS20	7152
DYRK4	26568
FAM76A	37524
MGST1	20267
CPA1	10614
SYPL1	27771
RANBP9	96037
CD4	34271
PLEKHG6	21069
SS18L2	9074
TSPAN9	212180
CYP4F2	25457
QPCTL	14321
HIVEP2	199262
PPP5C	46888
NME1	11233
UBR7	24959
MAP4K5	119784
INMT	8467
ERCC1	15832
GPRC5A	29375
HEBP1	31095
COX15	26959
MS4A12	17652
RGPD5	66400
XYLT2	18059
FTSJ1	13138
SCTR	90340
RALBP1	66105
PSD	21866
SYT13	51739
SNAI2	9531
VDAC3	17057
SLC7A9	44956
GABRA1	53475
RTF2	53301
SLC45A4	23673
RB1CC1	97677
AKAP11	54109
STRAP	23620
PIGQ	17091
CDH17	87093
B4GALT7	13198
SLC39A9	66689
FAM13B	100771
RANBP3	66434
CHPF2	9339
GABARAPL2	14502
MYOC	22971
FAM136A	11791
NSMAF	82045
OTC	71842
TTC17	139011
HOXC8	6784
MRI1	12760
BOD1L1	64687
TARBP1	93566
RIPOR1	20957
BEST2	8862
RTN4R	32603
PSMA4	14973
RIPOR3	56477
SPATA7	55636
ZPBP	161505
CTNS	29343
LCP2	57244
GOPC	47959
DCN	48033
TNFRSF17	5858
MRPS10	16754
GRN	10804
THAP3	11694
VAMP3	13136
UTS2	11365
RCN1	17648
RFC2	28597
PPP1R3F	21297
NEXMIF	198296
ARHGEF5	28230
NFE2L3	37939
TNIP3	38613
SIKE1	16906
TLL1	234220
CBLN4	13862
CLDN11	18823
FAM168A	203402
RELT	24075
CDC27	77292
PKP2	111722
IL1RAP	140468
YIPF1	43764
ADCK2	25165
SLC2A3	22657
ENPP2	87453
CTDP1	77657
STYK1	60829
GNA11	32637
CREB3L3	22423
PIGV	12340
HDAC7	42881
MRPS35	48463
APPBP2	88784
CA11	13941
ISOC2	14356
EPN1	23521
CD22	21174
GSC2	8999
ZFY	50125
HDHD5	33476
KCNQ1	407097
TRIB2	28798
OTUD5	41120
GPKOW	16028
AQR	123660
KLK14	12450
ST6GALNAC1	24694
MBD3	24905
LMCD1	75845
PSMC4	13599
FNDC8	12117
CAMKK1	33587
ACAP1	17948
DERL2	20624
NOX3	66171
ANO8	17332
KDM4B	187485
PANX2	12561
ICAM3	11548
CAMSAP3	25441
CTTNBP2	168490
ACTL6B	19051
CIC	14776
KIF22	17633
PRSS22	11140
CEACAM1	26875
YTHDC2	84590
TMEM161A	25009
BCAR1	29143
FOXJ2	25801
TNFRSF1A	19005
GOLGA5	48642
CELSR3	32123
PPP2R5B	12786
PYGM	19276
BCL3	14336
KCNAB2	69896
PIGB	39426
PDZD4	34024
REEP1	129361
FSTL3	9993
EPHA8	43106
TRIP13	28236
P4HA2	40947
VASH1	24547
LLGL2	52482
KRT14	10316
KRT20	15053
SPP2	29432
HSD17B10	8809
FGF4	10019
NMRK2	12347
MASP1	51296
ST6GAL1	151027
TIMM21	15008
BPIFB2	18999
REXO1	38935
MKRN2	29626
GPATCH1	52361
IL4R	26488
KEAP1	22931
P2RY10	21336
TNS1	150039
NGFR	22715
NTN1	225490
ISOC1	22279
TRO	13607
MNT	22687
LAPTM4A	24678
ADAM7	71539
ASNS	26124
PTPN18	22349
DRD4	6437
SCT	6572
ALDH3A2	31845
STK10	151845
ALPK1	147442
TBX21	15886
MRPS34	6960
CA12	66168
MAP2K5	267411
TIGAR	41815
FGF20	15864
MTMR7	122257
CPB2	57547
FAM107B	262040
CDK13	152324
TSPAN32	19191
FAR2	113408
TRAM2	85352
CLDN18	26484
ROPN1	28531
NDUFB4	9171
HEATR6	43613
ERLEC1	34752
CLIC5	187592
TMEM131	245312
ARPP21	155331
CEACAM21	13609
TMEM38A	31884
ZNF222	10747
PSG6	21508
ACTR6	26609
SLC25A3	11372
NR1H4	63282
FAP	78461
NFKB2	9819
MUSK	135139
DMRT3	18077
OSBPL6	211381
CCN5	15442
CTSA	10479
ANKRD16	17484
GAL3ST2	30465
BLTP3A	88431
OSTM1	39032
IMPG2	103729
ACTN1	110997
NAIP	58127
DELE1	19265
SLC13A1	92138
PCDHB4	6805
PCDHB2	7088
IFT25	29838
STRADB	32106
DLG3	63629
SEMA5B	124319
SNAP91	161943
PLOD1	43820
TDRD3	180421
OXCT1	146060
ZNF324	11356
ZNF416	13045
RPS5	10535
FAM234B	42068
PILRA	29609
RRN3	39939
MOGAT2	18115
CHERP	30219
AQP2	11141
DIMT1	22351
EIF2AK1	42628
NME8	54800
EPDR1	34296
MRPL28	9269
CEACAM6	19681
RBM22	15970
HSD17B2	66281
MAP2	309460
ZW10	46205
ITGB4	39359
PPP1R15A	6637
TRIP6	9067
ADAM11	25858
LAMP2	48848
SLC22A4	52796
CETP	24895
MT3	4557
PTHLH	15361
TFAP2C	12977
SULT2B1	50251
EPS8L1	15054
CACNB4	265604
DNMT3B	32504
REM1	12607
PDRG1	13409
EPB41L1	141837
PPP1R13B	120080
TGM6	54852
RALGAPA2	328814
RPL6	10116
ESF1	76264
SLC8B1	42053
TMEM230	18963
OAS1	15941
SIRT4	13928
TRMT6	19005
HAUS5	15620
UQCRC1	16344
GMIP	19881
LAG3	8935
MLF2	10845
OTUB2	25590
LTBP4	39652
TFAP4	21537
PDCD7	22129
SPG21	32592
CHRD	12775
FLT3LG	14995
GNPTG	15182
GOLGA3	65667
CD209	10172
EFNB1	16139
GLG1	165387
DLL3	12513
NAT14	5378
AASDH	54901
LAMB4	112507
DLD	33015
ABCC6	79629
CMTM6	27240
APOH	23082
SPAG7	14291
ESR1	298592
RGS17	132523
TMEM101	9475
CCDC80	50046
CMA1	8459
PSME1	5768
HAUS4	16626
CEBPE	7649
OSGEP	14111
G2E3	63906
TGM1	19763
TBX15	112210
TEKT2	7181
UNC13D	22879
XYLB	71200
OR1I1	4241
ADH7	28949
ADH1A	20316
KRT23	20646
CDC6	19778
AAAS	19850
CBX5	54880
KLHL20	74711
FMO2	30386
DHPS	11863
RAB26	8540
PSMD5	32569
NANS	29345
SEMA4G	19112
TPSD1	5939
GSTA3	18752
MAPK13	17008
TMEM14A	18475
BAG6	19377
PRRT1	9276
LST1	4962
ZNF184	28075
VCL	125053
SIRT1	36734
TGFBR3	211508
TMED1	9845
MZF1	17103
OCEL1	5993
PSMD8	12253
STX1B	27082
BCL7C	11982
EFNA2	18558
ATP5F1D	6074
PCDH11Y	48349
FGF22	7494
SMIM24	12239
IGFALS	8992
MARCHF2	28712
NDUFB7	11688
TECR	39386
TIMM13	7661
CDC34	13327
MISP	16206
GADD45B	5130
MADCAM1	11857
MAPK12	14482
SERPIND1	16607
SNAP29	35207
THAP7	8714
MMP11	14467
DDTL	8668
OSM	9722
TBC1D10A	40651
SF3A1	30606
USP18	30227
SEC14L3	18488
SNRPD3	21972
MAPK1	113688
TCN2	23097
CRYBB3	10501
MORC2	47290
SLC25A1	8855
PLA2G3	11401
LGALS2	15539
PDXP	11209
ASPHD2	18755
